IPO name,Price,GMP,Listed,GMP Price,Diff,Diff pct,Profit,GMP predicted profit pc,Actual profit pct
Sula Vineyards,357.00 ,0.00 ,361.00 ,357.00 ,4.00 ,1.11 ,4.00 ,0.00 ,1.12 
Delhivery,487.00 ,10.00 ,495.00 ,497.00 ,(2.00),(0.40),8.00 ,2.05 ,1.64 
Chemplast Sanmar,541.00 ,0.00 ,550.00 ,541.00 ,9.00 ,1.64 ,9.00 ,0.00 ,1.66 
Vijaya Diagnostic,531.00 ,0.00 ,540.00 ,531.00 ,9.00 ,1.67 ,9.00 ,0.00 ,1.69 
Mamaearth,324.00 ,30.00 ,330.00 ,354.00 ,(24.00),(7.27),6.00 ,9.26 ,1.85 
CMS Info Systems,216.00 ,5.00 ,220.00 ,221.00 ,(1.00),(0.45),4.00 ,2.31 ,1.85 
Yatharth Hospital,300.00 ,80.00 ,306.00 ,380.00 ,(74.00),(24.18),6.00 ,26.67 ,2.00 
Brookfield India REIT,275.00 ,0.00 ,281.00 ,275.00 ,6.00 ,2.14 ,6.00 ,0.00 ,2.18 
Keystone Realtors,541.00 ,5.00 ,555.00 ,546.00 ,9.00 ,1.62 ,14.00 ,0.92 ,2.59 
Nexus Select Trust,100.00 ,5.00 ,103.00 ,105.00 ,(2.00),(1.94),3.00 ,5.00 ,3.00 
Tarsons Products,662.00 ,180.00 ,682.00 ,842.00 ,(160.00),(23.46),20.00 ,27.19 ,3.02 
Prudent Corporate,630.00 ,10.00 ,650.00 ,640.00 ,10.00 ,1.54 ,20.00 ,1.59 ,3.17 
Venus Pipes,326.00 ,30.00 ,337.00 ,356.00 ,(19.00),(5.64),11.00 ,9.20 ,3.37 
Sona BLW Precision,291.00 ,5.00 ,301.00 ,296.00 ,5.00 ,1.66 ,10.00 ,1.72 ,3.44 
